ID;Categoria;Bloco;Ordem;Teste;Referencia no codigo;Item detalhado;So no dominio;Prioridade;Como validar (criterio objetivo);Status;Executado por;Data/hora;Resultado observado;Evidencia (arquivo/print);Observacoes
SV-02;Servidores;1 - Caminho critico;12;Get-PrinterPort mapeia PrinterHostAddress para todas as portas;backend/app/services/print_server.py:190-196;D-02;S;P0;ip_resolution majoritariamente resolved --  portas sem endereco caem em SV-03;;;;;;
AD-03;Active Directory;1 - Caminho critico;13;Conta de maquina MAQUINA$ consegue (ou nao) enumerar o print server;scripts/Servico-PrinterControl.ps1:33-41;D-01 / D-02;S;P0;Repetir 11 e 12 no contexto da tarefa: mesmo resultado, ou a causa esta isolada;;;;;;
AD-04;Active Directory;1 - Caminho critico;14;Kerberos vs NTLM: klist apos discovery por FQDN, nome curto e IP;backend/app/services/print_server.py:62-100;D-03;S;P1;klist mostra ticket host/<servidor> apos FQDN --  se so o IP falhar, NTLM esta restrito;;;;;;
PE-05;Permissoes;1 - Caminho critico;15;Permissao por fila no print server produz discovery parcial;backend/app/services/printer_sync.py:120-126;D-02 / D-04;S;P0;PORTAO: count da API == contagem do PowerShell. Divergencia impede o bloco 3;;;;;;
IF-06;Infraestrutura;2 - Rede de seguranca;16;Backup em UNC gravavel pela conta MAQUINA$;scripts/Servico-PrinterControl.ps1:63-68;D-12;S;P0;Arquivo .db novo aparece na share, testado no contexto SYSTEM e nao so no interativo;;;;;;
IF-07;Infraestrutura;2 - Rede de seguranca;17;Restauracao do backup + PRAGMA integrity_check;backend/backup_db.py;D-12;N;P0;PORTAO: integrity_check devolve ok no arquivo restaurado. Sem isso, nao execute o bloco 3;;;;;;
RS-01;Resiliencia;3 - Escrita no banco;18;Print server inalcancavel produz 502 sem escrever nada no banco;backend/app/services/printer_sync.py (docstring);D-04;S;P0;HTTP 502 e as contagens SQL antes/depois sao identicas;;;;;;
SV-07;Servidores;3 - Escrita no banco;19;Sync real: um servidor nao desativa impressoras de outro;backend/app/services/printer_sync.py:83-88;D-04;S;P1;discovered do sync == count do discover == contagem do PowerShell;;;;;;
RS-02;Resiliencia;3 - Escrita no banco;20;Descoberta parcial nao pode causar desativacao em massa;backend/app/services/printer_sync.py:120-126;D-04;S;P0;PORTAO: deactivated == 0. Qualquer outro valor exige investigacao antes de seguir;;;;;;
RE-03;Rede corporativa;4 - Rede ate a frota;21;ICMP a 400 ms vs 3 s para amostra da frota;backend/app/services/snmp.py:282-303;D-06;S;P1;Impressoras ligadas respondem dentro de 400 ms --  se so respondem com 3 s, e latencia;;;;;;
RE-04;Rede corporativa;4 - Rede ate a frota;22;SNMP UDP/161 alcancavel entre VLANs;backend/app/services/snmp.py:227-231;D-07;S;P1;snmp_responded True e o nivel de toner bate com o painel fisico da impressora;;;;;;
SE-03;Seguranca;4 - Rede ate a frota;23;EDR/IDS nao bloqueia a varredura paralela da frota;backend/app/services/printer_fleet.py:147-210;D-08;S;P1;Ciclo completo sem bloqueio e duracao do ciclo menor que COLLECTION_INTERVAL_MINUTES;;;;;;
IF-01;Infraestrutura;5 - Servico permanente;24;Instalacao da tarefa agendada com conta de dominio;scripts/Servico-PrinterControl.ps1:87-140;D-11;S;P0;-Acao status mostra Running e /health responde status=ok;;;;;;
IF-02;Infraestrutura;5 - Servico permanente;25;Sobe no boot sem ninguem logado;scripts/Servico-PrinterControl.ps1 (gatilho AtStartup);D-11;S;P0;Apos reboot sem login, /health responde;;;;;;
IF-04;Infraestrutura;5 - Servico permanente;26;uptime_seconds crescendo (detecta reinicio em laco);backend/app/main.py (health_check);D-11;N;P1;Duas consultas espacadas mostram uptime_seconds maior na segunda;;;;;;
AD-06;Active Directory;5 - Servico permanente;27;Coleta agendada funciona sob a conta do servico (fecha o ciclo do passo 9);scripts/Servico-PrinterControl.ps1;D-01 / D-11;S;P1;Um ciclo do scheduler grava PrinterReading novo sem intervencao manual;;;;;;
IN-01;Integracoes;6 - Periferia;28;Webhook Teams atraves do proxy corporativo;backend/app/services/webhook_notifier.py:105-156;D-13;S;P2;O Adaptive Card aparece no canal de teste (True sozinho nao basta);;;;;;
IM-01;Impressao;6 - Periferia;29;Point & Print via UNC sob GPO PrintNightmare;Main.ps1:1753-1755;D-09;S;P1;Get-Printer lista a fila e uma pagina de teste imprime --  ou o erro esperado 0x11b aparece;;;;;;
RE-06;Rede corporativa;6 - Periferia;30;IP por DHCP vs allowedDevOrigins fixo;next.config.ts:4;D-17;S;P2;Sem Blocked cross-origin request no console e a tela renderiza (nao Restaurando sessao);;;;;;
IN-03;Integracoes;6 - Periferia;31;Download do GitHub pelo atualizador atraves do proxy;scripts/Atualizar-PrinterControl.ps1:36-66;D-24;S;P2;Get-FileHash do .env e do .db identicos antes e depois da atualizacao;;;;;;
GP-07;Politicas de dominio;6 - Periferia;32;Sessao entre dois perfis de dominio na mesma maquina;src/lib/api.ts:9 (TOKEN_KEY);D-16;S;P2;Usuario B nao herda o elgin_auth_token do usuario A;;;;;;
AD-07;Active Directory;6 - Periferia;33;Expiracao de senha da conta de servico (documentar politica);scripts/Servico-PrinterControl.ps1;D-11;S;P2;Politica de expiracao registrada e data da proxima expiracao anotada;;;;;;
GP-03;Politicas de dominio;6 - Periferia;34;Point & Print / RestrictDriverInstallationToAdministrators;Main.ps1:1621;D-09;S;P1;Valores de registro lidos e correlacionados com o resultado de IM-01;;;;;;
GP-04;Politicas de dominio;6 - Periferia;35;ExecutionPolicy de maquina e logging de script;scripts/*.ps1;D-23;S;P1;Get-ExecutionPolicy -List registrado --  MachinePolicy anotada;;;;;;
GP-05;Politicas de dominio;6 - Periferia;36;UAC (EnableLUA, ConsentPromptBehavior*);Main.ps1:1795-1798;D-22;S;P2;Usuario comum recebe a mensagem Requer Administrador em vez de falha silenciosa;;;;;;
GP-06;Politicas de dominio;6 - Periferia;37;Redirecionamento de Pastas (Desktop) e perfil movel;backend/app/config.py;D-20 / D-16;S;P0;GetFolderPath('Desktop') aponta para caminho local, nao UNC;;;;;;
IN-02;Integracoes;6 - Periferia;38;Proxy visto pelo processo SYSTEM vs usuario;backend/app/services/webhook_notifier.py;D-13 / D-19;S;P2;netsh winhttp show proxy comparado com as variaveis do usuario;;;;;;
IM-02;Impressao;6 - Periferia;39;Get-PrinterDriver local e deteccao de driver pre-instalado;Main.ps1:1694-1710;D-10;S;P2;O popup mostra Driver pre-instalado quando ha um compativel;;;;;;
IM-03;Impressao;6 - Periferia;40;Instalacao de .inf e de .exe a partir da pasta Drivers;Main.ps1:1790+;D-10;S;P2;Get-PrinterDriver antes e depois difere e a fila imprime;;;;;;
IM-04;Impressao;6 - Periferia;41;Atalhos .lnk resolvendo para shares SMB;Main.ps1:1638-1646;D-10;S;P2;Todos os alvos de .lnk retornam Test-Path verdadeiro;;;;;;
IM-05;Impressao;6 - Periferia;42;Spooler parado produz mensagem Servico de Spooler indisponivel;Main.ps1:1712-1715;D-09;S;P3;A mensagem aparece em vez de excecao nao tratada;;;;;;
SE-04;Seguranca;6 - Periferia;43;Inspecao TLS quebra o webhook (SSLCertVerificationError);backend/app/services/webhook_notifier.py;D-13;S;P2;httpx.get a um host HTTPS externo funciona ou o erro de certificado e capturado;;;;;;
SE-05;Seguranca;6 - Periferia;44;AppLocker/SRP contra .exe de driver vindo de share;Main.ps1:1790+;D-10;S;P2;Get-AppLockerPolicy -Effective exportado e correlacionado com IM-03;;;;;;
RE-02;Rede corporativa;6 - Periferia;45;Sufixo de busca DNS entregue por GPO/DHCP;backend/app/services/print_server.py:62-100;D-03;S;P1;Get-DnsClientGlobalSetting mostra o sufixo do dominio e o nome curto resolve;;;;;;
RE-05;Rede corporativa;6 - Periferia;46;TCP/135 + faixa RPC dinamica ate o print server;backend/app/services/print_server.py:170-180;D-02 / D-21;S;P0;Test-NetConnection porta 135 devolve TcpTestSucceeded True;;;;;;
SV-03;Servidores;6 - Periferia;47;Fallback ip = port_name quando a porta nao tem endereco (ex USB001);backend/app/services/print_server.py:193;D-02;S;P2;Filas com porta USB aparecem com ip_resolution unresolved, sem quebrar a descoberta;;;;;;
SV-04;Servidores;6 - Periferia;48;Filas compartilhando o mesmo IP sao agrupadas em uma consulta SNMP;backend/app/services/discovery.py (_result_for_ip);D-02;S;P2;network_query_reused True e unique_ips menor que count;;;;;;
SV-05;Servidores;6 - Periferia;49;Timeout de 30 s: comportamento com print server lento;backend/app/config.py (print_server_timeout_seconds);D-02;S;P2;Erro PowerShell nao respondeu em 30s, sem travar o processo;;;;;;
SV-06;Servidores;6 - Periferia;50;Cadastro de multiplos print servers, cada um com seu modo;backend/app/routes/servers.py (create_server);D-02;S;P2;Dois servidores listados em GET /api/servers com modos independentes;;;;;;
RS-03;Resiliencia;6 - Periferia;52;Impressora offline produz status_reason=ping_failed, nao erro generico;backend/app/services/discovery.py (_empty_result);D-06;S;P1;O campo status_reason traz ping_failed e nao unknown;;;;;;
RS-04;Resiliencia;6 - Periferia;53;SNMP mudo com ping OK produz ping_ok_snmp_not_responding;backend/app/services/discovery.py:97-104;D-07;S;P1;status_reason distingue os tres cenarios de falha SNMP;;;;;;
IF-08;Infraestrutura;6 - Periferia;54;Rotacao de log (5 MB x 10) e permissao de escrita em backend/logs;backend/app/config.py (log_*);D-11;N;P2;Arquivo printercontrol.log cresce e rotaciona --  a conta do servico escreve nele;;;;;;
PE-06;Permissoes;6 - Periferia;55;ACL da share de backup para MAQUINA$;scripts/Servico-PrinterControl.ps1:63-68;D-12;S;P0;Get-Acl da share lista a conta de maquina ou o grupo que a contem, com escrita;;;;;;
PE-07;Permissoes;6 - Periferia;56;ACL da pasta do projeto (quem le o .env e o .db);backend/.env;D-14 / D-20;S;P1;Lista de principals com leitura registrada --  contas inesperadas viram achado;;;;;;
PE-02;Permissoes;6 - Periferia;57;Admin do dominio nao ganha privilegio no painel;backend/app/dependencies.py:113-176;D-15;S;P1;Conta de Domain Admin sem usuario no SQLite recebe 401 no login;;;;;;
AU-07;Autenticacao;6 - Periferia;58;Confirmar ausencia de SSO/Windows Auth e registrar como decisao;backend/app/services/auth.py;D-15;S;P1;Nenhum endpoint aceita Negotiate/NTLM --  decisao registrada em ata;;;;;;
AU-01;Autenticacao;FORA do dominio;59;Login com e-mail e com username resolvem a mesma conta;backend/app/routes/auth.py;D-15;N;P1;As duas formas devolvem o mesmo user id em GET /api/auth/me;;;;;;
AU-02;Autenticacao;FORA do dominio;60;Senha errada e conta inexistente respondem em tempo semelhante;backend/app/routes/auth.py:39-55;D-15;N;P2;Diferenca de tempo entre os dois casos abaixo de 50 ms em 20 amostras;;;;;;
AU-03;Autenticacao;FORA do dominio;61;Sexta tentativa em 15 min devolve 429 com Retry-After;backend/app/services/rate_limit.py;D-15;N;P1;HTTP 429 e header Retry-After presente na sexta chamada;;;;;;
AU-04;Autenticacao;FORA do dominio;62;X-Forwarded-For forjado nao contorna o limite de login (QA-10);backend/app/routes/auth.py (_identificar_origem);D-15;N;P0;Sete tentativas com XFF diferente a cada uma ainda chegam ao 429;;;;;;
AU-05;Autenticacao;FORA do dominio;63;Token anterior a troca de senha devolve 401 (token_version);backend/app/dependencies.py:95-104;D-16;N;P1;Token antigo devolve 401 apos POST /api/auth/change-password;;;;;;
AU-06;Autenticacao;FORA do dominio;64;Conta desativada devolve 403 com mensagem especifica, nao 401 generico;backend/app/dependencies.py:86-92;D-15;N;P1;Corpo do 403 contem Conta desativada;;;;;;
PE-01;Permissoes;FORA do dominio;65;Matriz papel x endpoint (viewer/operator/admin x todas as rotas);backend/app/dependencies.py:113-176;D-15;N;P1;Matriz completa preenchida por teste real, nao por leitura de codigo;;;;;;
PE-03;Permissoes;FORA do dominio;66;Frontend esconde vs backend proibe - testar pela API;src/lib/permissions.ts;D-15;N;P1;Nenhuma rota permite pela API o que a tela esconde;;;;;;
PE-04;Permissoes;FORA do dominio;67;must_change_password bloqueia tudo exceto /auth/me e /change-password;backend/app/dependencies.py:107-135;D-15;N;P2;403 em todas as rotas e 200 nas duas excecoes;;;;;;
IF-03;Infraestrutura;FORA do dominio;68;Reinicio automatico apos kill do processo (RestartCount 999);scripts/Servico-PrinterControl.ps1;D-11;N;P1;Apos Stop-Process, /health volta a responder dentro de 1 minuto;;;;;;
IN-04;Integracoes;FORA do dominio;69;URL do webhook nunca aparece no log (so o host);backend/app/services/webhook_notifier.py (_safe_host);D-13;N;P1;grep por sig= no printercontrol.log nao retorna nada;;;;;;
RS-05;Resiliencia;FORA do dominio;70;Coleta parada nao gera alerta nenhum - confirmar e registrar lacuna;backend/app/services/scheduler.py;A-04;N;P1;Com scheduler parado, nenhum alerta e criado --  lacuna registrada como achado;;;;;;
RS-06;Resiliencia;FORA do dominio;71;Webhook falhando nao derruba a coleta;backend/app/services/webhook_notifier.py (docstring);D-13;N;P1;Com WEBHOOK_URL invalida, o ciclo de coleta conclui normalmente;;;;;;
RS-07;Resiliencia;FORA do dominio;72;429 do limite de acoes de rede (10 por 60 s por usuario);backend/app/dependencies.py (rate_limited_action);D-04;N;P2;Decima primeira chamada a /api/servers/discover devolve 429;;;;;;
D-05;Servidores;FORA do dominio;73;Exclusao de Print Server em cascata (NUNCA contra servidor real);backend/app/routes/servers.py (delete_server);D-05;N;P3;204 com confirm_host correto --  400 com confirm_host errado --  contagens zeradas;;;;;;
